comment_id,video_id,video_title,comment_text,comment_published_at,comment_updated_at,comment_like_count,comment_reply_count,comment_engagement,video_published_at,video_view_count,video_like_count,video_comment_count,video_engagement,channel_title,search_query,source,collection_timestamp,video_url,sentiment_label,sentiment_confidence
UgySUIJW-XHNEndRz1V4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,Can you do a video on how to create content on X please 🙏🏾,2026-08-09 17:19:46+00:00,2026-08-09T17:19:46Z,3,0,3,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Neutral,0.619073748588562
UgxmHjH3NeiXYfM0MBp4AaABAg,q027q2sNcmk,X Monetization Changes! 🚨 New Creator Rules #X #Monetization #Creators,Need more videos on X,2026-08-09 20:28:54+00:00,2026-08-09T20:28:54Z,0,0,0,2026-08-09T07:43:52Z,205,2,1,3,Investment Deck ,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=q027q2sNcmk,Neutral,0.5384294986724854
UgwEVP3tSYkzJIW6dkF4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,It's illegal to discuss about monetization and coaching there is a rule in it good luck for your last month,2026-08-10 02:52:20+00:00,2026-08-10T02:52:20Z,0,1,1,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Negative,0.5313830971717834
UgwIPdQFqOfm4rU7Wex4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,Thanks went immediately to your channel to see your insights after hearing the changes on twitter.,2026-08-10 18:03:25+00:00,2026-08-10T18:03:25Z,1,0,1,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.8298401236534119
UgyJnXjkGk2E5PshB7R4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,"Your channel will not hit 500k verified impressions! You don't care about it, because you make from coaching. What about other small creators?",2026-08-11 07:08:57+00:00,2026-08-11T07:08:57Z,0,0,0,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Negative,0.8167974948883057
Ugwnrjw8KB9gYmnb4NJ4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Lawde lg gaye 😂,2026-08-11 19:17:18+00:00,2026-08-11T19:17:18Z,0,0,0,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.6635406017303467
UgyiODnvG_MZljVs03V4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,"as a film photographer on X, this is the best update so far.",2026-08-12 02:35:27+00:00,2026-08-12T02:35:27Z,5,0,5,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Positive,0.8960846662521362
UgwYTTTFyJV_MT5DRMd4AaABAg,uORrJ3Mc43c,X Monetization Just Changed... Again!,500 varified followers means that blue tick guys?,2026-08-12 18:11:28+00:00,2026-08-12T18:11:28Z,0,1,1,2026-08-08T15:16:26Z,4401,147,22,169,Jacob C. Edmunds,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=uORrJ3Mc43c,Negative,0.5246003270149231
Ugx6-VB96YZj5hpfgEF4AaABAg,Soay4IAAHj8,X Changed Everything! No More Monetization for Pakistan? #twiiter #payouts #digitalart ,As Pakistan is not included in this list. Then how can I creat account of other countries for my original contract? Kindly guide me,2026-08-13 23:34:46+00:00,2026-08-13T23:34:46Z,0,0,0,2026-08-08T16:03:21Z,338,3,3,6,Political Stories with Zeeshan,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=Soay4IAAHj8,Negative,0.5765382647514343
UgygpgZfqbsDnA06jjB4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा","Bhai 12 lac hi kaam payaa bhai 


Abi kyaa kre",2026-08-14 06:09:16+00:00,2026-08-14T06:09:16Z,0,0,0,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.5190868377685547
UgxJ2C67bP5ZGwi9nU54AaABAg,4cGckKXBWzs,X Monetization | X New Update | X 500K Verified Impressions | Twitter New Update | Twitter Monetize,Sir ma bi x par kam kr rha ho abi as target ko pora krna muskal ha but ap keo trihka bata dia as target ko kasy pora kia ja skata ha,2026-08-14 07:35:05+00:00,2026-08-14T07:52:12Z,0,1,1,2026-08-12T11:34:23Z,447,7,2,9,X file,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=4cGckKXBWzs,Neutral,0.7805388569831848
UgyEwGaDP6X4VYI1BcN4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Khel khatam,2026-08-14 22:38:41+00:00,2026-08-14T22:38:41Z,0,0,0,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.5944436192512512
UgyEJSxuRYKUuwO9Q5V4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा","galat nahi hai bhai, kyuki X pe revenue kamane ke liye jo nanga naach hone laga tha  wo dekhte huye bilkul sahi decision hai",2026-08-19 15:03:22+00:00,2026-08-19T15:03:22Z,0,3,3,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.5938093662261963
UgzVihLZnBQaAUDTV454AaABAg,O6kE3-ucW0I,X monetization | X 500k impressions | Twitter new update | X new update | Twitter monetization,Sir imperssion Kasy poria karia 5 lac,2026-08-19 16:42:32+00:00,2026-08-19T16:42:32Z,0,1,1,2026-08-19T15:04:34Z,952,16,4,20,X file,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=O6kE3-ucW0I,Neutral,0.754334032535553
UgxgfFw6AbGtgYG-0it4AaABAg,1oy79_i6nDQ,X (Twitter) Earning Program 💰 | Start Your Creator Journey,How you earning bro ?,2026-08-25 06:58:27+00:00,2026-08-25T06:58:27Z,1,2,3,2026-08-24T20:52:35Z,1895,14,11,25,PMGS Service,X creator revenue sharing,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=1oy79_i6nDQ,Neutral,0.6406243443489075
UgyKqAxBpo9RkZhEGrp4AaABAg,9MAoAP3pWwQ,"X Creator New Update 2026 | Revenue Sharing बंद, अब Original Content Rewards Program ऐसे मिलेगा",Meme page monetized hoga?,2026-08-31 11:01:00+00:00,2026-08-31T11:01:00Z,0,0,0,2026-08-08T07:07:23Z,2226,35,14,49,My Hindi Help,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=9MAoAP3pWwQ,Neutral,0.6883063912391663
Ugw-pOssk9_nInEZ9WJ4AaABAg,Soay4IAAHj8,X Changed Everything! No More Monetization for Pakistan? #twiiter #payouts #digitalart ,Pakistan list me hi nahi hai,2026-08-31 17:21:58+00:00,2026-08-31T17:21:58Z,0,0,0,2026-08-08T16:03:21Z,338,3,3,6,Political Stories with Zeeshan,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=Soay4IAAHj8,Neutral,0.6935598850250244
UgyHwlk4klUEEcJRYSR4AaABAg,1oy79_i6nDQ,X (Twitter) Earning Program 💰 | Start Your Creator Journey,Impossible it's fake,2026-09-02 08:56:39+00:00,2026-09-02T08:56:39Z,0,2,2,2026-08-24T20:52:35Z,1895,14,11,25,PMGS Service,X creator revenue sharing,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=1oy79_i6nDQ,Negative,0.7969396710395813
UgwguPXnaUaEj925sON4AaABAg,O6kE3-ucW0I,X monetization | X 500k impressions | Twitter new update | X new update | Twitter monetization,Repost count hoga ?,2026-09-04 09:56:09+00:00,2026-09-04T09:56:09Z,0,1,1,2026-08-19T15:04:34Z,952,16,4,20,X file,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=O6kE3-ucW0I,Neutral,0.7658336162567139
UgxjgYFVW4BVLva2cuB4AaABAg,o5VhfdnOy7M,How To Find Content For X (Twitter) in 2026 | Twitter Monetization In Pakistan ,Pakistan is not eligible for X’s Original Content Rewards,2026-09-05 09:18:33+00:00,2026-09-05T09:18:33Z,1,0,1,2026-09-02T13:04:07Z,2090,64,19,83,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=o5VhfdnOy7M,Negative,0.7862210273742676
UgxZFQji7PkiPWXL2k94AaABAg,o5VhfdnOy7M,How To Find Content For X (Twitter) in 2026 | Twitter Monetization In Pakistan ,Bhai Pakistan new original content monetisation ma eligible nhe is k bary ma keya kihty ho list ma Pakistan nhe ha,2026-09-06 17:06:29+00:00,2026-09-06T17:06:29Z,0,0,0,2026-09-02T13:04:07Z,2090,64,19,83,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=o5VhfdnOy7M,Neutral,0.7169486284255981
UgyyQxpyjM7fbYRVIP54AaABAg,cciRsLXRVIw,X Original Content Rewards | X Monetization | Twitter Monetization | X New Update | Twitter Updates,मैंने आपको आज पहली बार देखा है प्लीज़ मुझे भी गाइड करे मै भी ट्विटर पर मॉनिटाइज करना चाहता हु भाई रिप्लाई देना,2026-09-10 04:46:36+00:00,2026-09-10T04:46:36Z,0,0,0,2026-09-09T07:30:24Z,461,8,1,9,X file,X creator monetization,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=cciRsLXRVIw,Neutral,0.4338861405849457
UgyfxuyVlbl2K_YjWWl4AaABAg,VCVhsThVdqI,X (Twitter) Monetization Course Class 1 | How To Make Money 🤑 From Twitter ,Bhai ak simple se cheez pochai hai apsy har video main k Pakistani Accounts es program main hai he nhi tu ap kasay kr saktay hai yee .,2026-09-10 06:40:48+00:00,2026-09-10T06:40:48Z,1,2,3,2026-09-10T06:23:46Z,3645,51,19,70,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=VCVhsThVdqI,Neutral,0.7549073696136475
UgylC4997DzcDudwgoF4AaABAg,VCVhsThVdqI,X (Twitter) Monetization Course Class 1 | How To Make Money 🤑 From Twitter ,Sir ak Mobile ma x ka katnia account bna saktia ha. Many dosra account bne ta phlia wlia par valiction a gi to wo demonetized ho ga. Ap ko many dihka ha pc par apne 2 account bne hvia ha,2026-09-10 06:43:28+00:00,2026-09-10T06:43:28Z,2,0,2,2026-09-10T06:23:46Z,3645,51,19,70,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=VCVhsThVdqI,Neutral,0.6416953206062317
Ugz8oomCh3zBJ3TKtgx4AaABAg,Soay4IAAHj8,X Changed Everything! No More Monetization for Pakistan? #twiiter #payouts #digitalart ,New account  chalay ga ya nahe,2026-09-10 08:10:58+00:00,2026-09-10T08:10:58Z,0,0,0,2026-08-08T16:03:21Z,338,3,3,6,Political Stories with Zeeshan,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=Soay4IAAHj8,Neutral,0.6309346556663513
UgxFT2uZXXX-0_Z08dB4AaABAg,VCVhsThVdqI,X (Twitter) Monetization Course Class 1 | How To Make Money 🤑 From Twitter ,Almost 8 days ho gye but impressions hi nhi aty tips chahiye 😢,2026-09-10 09:40:05+00:00,2026-09-10T09:40:05Z,1,1,2,2026-09-10T06:23:46Z,3645,51,19,70,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=VCVhsThVdqI,Neutral,0.55559903383255
Ugx3ndgafJ-TvJfm5-V4AaABAg,VCVhsThVdqI,X (Twitter) Monetization Course Class 1 | How To Make Money 🤑 From Twitter ,Pakistan ma monitize ho Jata ha,2026-09-10 17:17:10+00:00,2026-09-10T17:17:10Z,0,0,0,2026-09-10T06:23:46Z,3645,51,19,70,Umar Rizwan Official2,X monetization 2026,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=VCVhsThVdqI,Neutral,0.6248508095741272
Ugy1e5no4_uzAWTdomZ4AaABAg,N6USbwKV4Xc,X Just Changed the Game for Monetization!💸,"Do you think X is right to stop paying people who just repost other people's videos—or does it hurt the ""viral"" nature of the platform? The new application and eligibility rules are in the description.",2026-09-10 22:08:42+00:00,2026-09-10T22:08:42Z,1,2,3,2026-09-10T22:00:15Z,430,6,3,9,Tommy Hatter,X monetization change,YouTube,2026-09-19T21:01:55.193715+00:00,https://www.youtube.com/watch?v=N6USbwKV4Xc,Negative,0.8955926299095154
