user_id,location,follower_count,post_count,avg_engagement,total_engagement
user_6xvmxfyf,"Melbourne, Australia",7470,8,4270.0,34160
user_nv39lexw,"Chicago, USA",6441,8,4250.5,34004
user_dxhhp9fo,"Manchester, UK",3852,8,4232.88,33863
user_3m0fddpp,"Toronto, Canada",327,8,4228.63,33829
user_o8hhe4wa,"Johannesburg, South Africa",6637,8,4221.38,33771
user_cax2bqkt,"Milan, Italy",2589,7,4807.57,33653
user_irfxbf0q,"Johannesburg, South Africa",3238,8,4185.38,33483
user_32g9y8pw,"Beijing, China",1876,7,4674.57,32722
user_zp2gw1bo,"Chicago, USA",4869,7,4629.57,32407
user_zdot1vfk,"Barcelona, Spain",448,7,4607.71,32254
user_vzy4krml,"Sydney, Australia",6272,7,4484.43,31391
user_h6g9kjdx,"Delhi, India",2191,7,4458.29,31208
user_4xle01hd,"Paris, France",9516,7,4434.43,31041
user_zw0wri6o,"Sydney, Australia",7304,7,4406.71,30847
user_outa8g9m,"Milan, Italy",6019,7,4384.14,30689
user_n0t4gjjd,"Osaka, Japan",8868,7,4334.57,30342
user_73jr6imn,"Berlin, Germany",7267,7,4247.71,29734
user_pepwpd8e,"Lyon, France",4752,7,4237.0,29659
user_4k5n0jkk,"Munich, Germany",9309,6,4878.33,29270
user_kdpzdt3l,"Manchester, UK",8661,6,4856.5,29139
user_b86ckvf0,"Milan, Italy",2730,7,4151.43,29060
user_87kc1g6d,"Houston, USA",7238,7,4111.86,28783
user_7xmgfrdi,"Seoul, South Korea",7428,7,4107.71,28754
user_y5urixy6,"Munich, Germany",445,7,4104.0,28728
user_ruzvsfpj,"Beijing, China",7098,6,4733.83,28403
user_0osqp2dw,"New York, USA",6432,6,4719.17,28315
user_sypzgjkq,"Houston, USA",251,7,4032.86,28230
user_qpyuqb17,"Madrid, Spain",3564,6,4670.83,28025
user_sd7unhlc,"Tokyo, Japan",7258,6,4335.5,26013
user_t0di0wp6,"Milan, Italy",4750,6,4287.17,25723
user_najfasrj,"London, UK",3919,6,4269.67,25618
user_x4incpcb,Singapore,3061,5,5051.4,25257
user_p84zb3bc,"São Paulo, Brazil",1245,5,4995.6,24978
user_m2ziq5ox,"Melbourne, Australia",4282,6,4143.67,24862
user_gsa59ewq,"Houston, USA",2194,6,4118.33,24710
user_k7r639d6,"Rome, Italy",358,5,4850.8,24254
user_x6t03gzx,"Rome, Italy",5868,6,4010.5,24063
user_g2dekwc7,"Madrid, Spain",3698,5,4559.6,22798
user_x6318ftx,"New York, USA",721,5,4518.6,22593
user_8wm37pk5,"Dubai, UAE",5193,5,4475.0,22375
user_sp9dve47,"Chicago, USA",5574,5,4474.2,22371
user_v20bhdbp,"Barcelona, Spain",6540,5,4458.8,22294
user_auaf6zqu,"Tokyo, Japan",8613,5,4438.8,22194
user_bs6fwfa7,"Sydney, Australia",8103,5,4341.8,21709
user_nqnv2wim,"Melbourne, Australia",1873,4,5381.75,21527
user_gyx5gifk,"Vancouver, Canada",3302,5,4246.2,21231
user_17homyqe,"Toronto, Canada",4887,5,4197.4,20987
user_h8g2fyv0,"London, UK",4209,5,4135.0,20675
user_4tziovr6,"São Paulo, Brazil",7972,4,5021.0,20084
user_pp3dgfak,"Seoul, South Korea",109,5,4015.6,20078
user_eies3y7t,"Rio de Janeiro, Brazil",8695,4,4803.25,19213
user_7gm44p81,"Toronto, Canada",1960,4,4755.25,19021
user_57r6dkm6,"Vancouver, Canada",6699,4,4585.0,18340
user_6laec67f,"Chicago, USA",6536,4,4441.25,17765
user_dkrkjvcx,"Melbourne, Australia",6682,4,4361.75,17447
user_l0y6e71z,"Dubai, UAE",9788,4,4186.25,16745
user_bijy5emr,"Barcelona, Spain",3165,4,4135.25,16541
user_2te8mebn,"Lyon, France",8398,4,4106.25,16425
user_tyte2cxw,"Chicago, USA",7823,4,4084.25,16337
user_oeg9yiqz,"São Paulo, Brazil",7528,3,5234.0,15702
user_5td0e1us,Singapore,6747,3,4754.33,14263
user_rbvbyj5y,"London, UK",2857,3,4714.67,14144
user_8c2t4hs8,"Rome, Italy",7988,3,4520.0,13560
user_rscyqide,"Shanghai, China",4478,2,4543.0,9086
